epoch,epsilon,team_return,team_return_ma,greedy_team_return,agent0_return,agent0_return_ma,agent1_return,agent1_return_ma,agent2_return,agent2_return_ma,agent0_task0_return,agent0_task0_return_ma,agent0_task1_return,agent0_task1_return_ma,agent0_task2_return,agent0_task2_return_ma,agent0_task3_return,agent0_task3_return_ma,agent0_task4_return,agent0_task4_return_ma,duration_ms
77,0.050000,18.128232940159847,18.101333,18.385429637686084,19.58,19.604,18.17643790374344,19.392173969369463,19.66,18.38,19.3,19.62,19.4,19.3,19.8,19.7,19.5,19.5,19.9,19.9,19.17114025036392
78,0.050000,19.37542146797079,18.06,19.7,19.5,19.572,19.47476612770686,19.16480029866323,19.66,19.548,19.7,19.62,19.4,19.3,19.8,19.7,18.7,19.34,19.9,19.9,19.272376480732287
79,0.050000,19.6,18.073333,19.7,19.56,19.572,19.78,19.48023783270281,19.46,19.604,19.2,19.52,19.4,19.4,19.8,19.7,19.5,19.34,19.9,19.9,19.09520863755383
80,0.050000,19.693333,18.462667,19.7,19.66,19.572,19.76,19.395598084663785,19.66,19.604,19.7,19.52,19.4,19.4,19.8,19.7,19.5,19.34,19.9,19.9,19.457836749152204
81,0.050000,19.7,18.857333,18.57502356291517,19.66,19.592,19.78,18.028692047125052,19.66,19.62,19.7,19.52,19.4,19.4,19.8,19.8,19.5,19.34,19.9,19.9,19.028227860214294
82,0.050000,19.58,19.229333,18.133333,19.66,19.608,19.42,18.46,19.66,19.62,19.7,19.6,19.4,19.4,19.8,19.8,19.5,19.34,19.9,19.9,19.17727841808334
83,0.050000,19.7,19.654667,19.726667,19.66,19.64,19.78,19.704,19.66,19.62,19.7,19.6,19.4,19.4,19.8,19.8,19.5,19.5,19.9,19.9,19.134692718989537
84,0.050000,19.673333,19.669333,19.726667,19.58,19.644,19.86,19.72,19.58,19.644,19.7,19.7,19.4,19.4,19.8,19.8,19.5,19.5,19.5,19.82,19.408173125706693
85,0.050000,19.7,19.713333,19.753333,19.74,19.704,19.86,19.824,19.5,19.612,19.7,19.6,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.82,0
86,0.050000,19.693333,19.724,19.753333,19.74,19.72,19.86,19.86,19.48,19.592,19.7,19.6,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
87,0.050000,19.72,19.724,19.753333,19.74,19.74,19.76,19.84,19.66,19.592,19.7,19.7,19.4,19.4,19.8,19.8,19.9,19.9,19.9,19.9,0
88,0.050000,19.693333,19.712,19.753333,19.64,19.72,19.86,19.84,19.58,19.576,19.7,19.7,18.9,19.3,19.8,19.8,19.9,19.9,19.9,19.9,0
